latitud,longitud,address
-17.4289866,-66.1595642,"Avenida Panamericana, Lindo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4170963,-66.1572259,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4170173,-66.1572136,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.416900400000003,-66.1571911,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.412288099999998,-66.1563606,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.411066899999998,-66.1560297,"Avenida Independencia, San Carlos, Cercado, Cochabamba, Bolivia"
-17.411066899999998,-66.1560297,"Avenida Independencia, San Carlos, Cercado, Cochabamba, Bolivia"
-17.3858383,-66.1590355,"Caxia Tours, 707, Calle La Paz, Barba de Padilla, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4173392,-66.15727360000001,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4171072,-66.1572302,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4169923,-66.15721520000001,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4126458,-66.15642290000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.41254,-66.15640110000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.412443399999997,-66.1563845,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4123612,-66.1563723,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3980715,-66.15789290000001,"622, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3959387,-66.15825530000001,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.395798199999998,-66.1582772,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3938069,-66.1586429,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3906865,-66.15928260000001,"Carcaje Tours, 299, Avenida Ayacucho, Santa Teresa, Cercado, Cochabamba, Bolivia"
-17.3741967,-66.16211960000001,"Unidad Educativa Paulo Freire, 1512, Avenida Libertador Simón Bolívar, Portales, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3741068,-66.1621485,"Unidad Educativa Paulo Freire, 1512, Avenida Libertador Simón Bolívar, Portales, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3725295,-66.1626926,"Avenida Libertador Simón Bolívar, Santa Ana de Cala Cala, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3725905,-66.1626727,"Avenida Libertador Simón Bolívar, Adela Zamudio, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3727203,-66.16263400000001,"Importadora Campero, 1553, Avenida Libertador Simón Bolívar, Adela Zamudio, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.373235,-66.162486,"Importadora Campero, 1553, Avenida Libertador Simón Bolívar, Adela Zamudio, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3734508,-66.1624302,"Importadora Campero, 1553, Avenida Libertador Simón Bolívar, Adela Zamudio, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3889082,-66.15961220000001,"Agitato, 449, Avenida Ayacucho, Barba de Padilla, Cercado, Cochabamba, Bolivia"
-17.3890633,-66.1595789,"Agitato, 449, Avenida Ayacucho, Barba de Padilla, Cercado, Cochabamba, Bolivia"
-17.3942565,-66.1586091,"Universidad Privada del Valle, 256, Avenida Ayacucho, Gerónimo de Osorio, Cercado, Cochabamba, Bolivia"
-17.39966,-66.1564208,"Calle Nataniel Aguirre, San Antonio, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3980425,-66.15789480000001,"620, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3979453,-66.15792230000001,"610, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.396022,-66.15822680000001,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3959573,-66.15823710000001,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3958434,-66.1582566,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.395792,-66.1582726,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.392613,-66.15936160000001,"Avenida Heroínas de la Coronilla, Santa Teresa, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3926099,-66.15941640000001,"Avenida Heroínas de la Coronilla, Santa Teresa, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3926099,-66.15941640000001,"Avenida Heroínas de la Coronilla, Santa Teresa, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3926362,-66.15953520000001,"Avenida Heroínas de la Coronilla, Santa Teresa, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3926527,-66.15959360000001,"Avenida Heroínas de la Coronilla, Santa Teresa, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.392668999999998,-66.1596499,"Avenida Heroínas de la Coronilla, Santa Teresa, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.392904899999998,-66.16082250000001,"Sico Sol, 0297, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.392904899999998,-66.16082250000001,"Sico Sol, 0297, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3928984,-66.16076240000001,"Sico Sol, 0297, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3928931,-66.1606989,"Importadora Bafor, O-240, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3928871,-66.16063410000001,"Importadora Bafor, O-240, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3928871,-66.16063410000001,"Importadora Bafor, O-240, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3928752,-66.16057740000001,"Importadora Bafor, O-240, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.392865099999998,-66.16052140000001,"Importadora Bafor, O-240, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.392858699999998,-66.1604645,"Importadora Bafor, O-240, Avenida Heroínas de la Coronilla, Cobija, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3914386,-66.1525355,"Avenida Heroínas de la Coronilla, Santa Ana, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3697873,-66.16410780000001,"Calle Adela Zamudio, Santa Ana de Cala Cala, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3698834,-66.16410090000001,"Calle Adela Zamudio, Santa Ana de Cala Cala, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3699226,-66.1640981,"Calle Adela Zamudio, Santa Ana de Cala Cala, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3716172,-66.17540050000001,"Edificio De La Via, 1240, Avenida América, Pulacayo, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417309200000002,-66.157308,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417309200000002,-66.157308,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4172373,-66.15729370000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417175,-66.15727910000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417175,-66.15727910000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417118000000002,-66.157269,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417118000000002,-66.157269,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417033,-66.1572513,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417033,-66.1572513,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4170011,-66.15724150000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4169646,-66.15721590000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4169221,-66.1572246,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4168938,-66.1572167,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.412675,-66.1564436,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.412513699999998,-66.15641260000001,"Avenida Panamericana, Canata, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.411227999999998,-66.1560642,"Avenida Panamericana, Canata, Cercado, Cochabamba, Bolivia"
-17.411158099999998,-66.1560503,"Avenida Independencia, San Carlos, Cercado, Cochabamba, Bolivia"
-17.411088499999998,-66.15603920000001,"Avenida Independencia, San Carlos, Cercado, Cochabamba, Bolivia"
-17.4110165,-66.1560305,"Avenida Independencia, San Carlos, Cercado, Cochabamba, Bolivia"
-17.3970439,-66.1591746,"Calle Junín, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3961069,-66.1581956,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3961069,-66.1581956,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3960448,-66.15820430000001,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3960448,-66.15820430000001,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3959296,-66.15822270000001,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3959296,-66.15822270000001,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3958874,-66.1582274,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.395781799999998,-66.15824260000001,"Comunidad Adoratrices, 438, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3939658,-66.15860470000001,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3938702,-66.15862010000001,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3938702,-66.15862010000001,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3938325,-66.1586242,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3938325,-66.1586242,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3937961,-66.1586304,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3937599,-66.1586357,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3937313,-66.1586465,"Centro Gnóstico, 228, Avenida Ayacucho, Centro Histórico, Cercado, Cochabamba, Bolivia"
-17.3907615,-66.1592081,"Carcaje Tours, 299, Avenida Ayacucho, Santa Teresa, Cercado, Cochabamba, Bolivia"
-17.374527,-66.16207920000001,"Avenida Libertador Simón Bolívar, Adela Zamudio, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3744475,-66.1621068,"FarmaElías, 1533, Avenida Libertador Simón Bolívar, Portales, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3743101,-66.16216030000001,"FarmaElías, 1533, Avenida Libertador Simón Bolívar, Portales, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3742501,-66.16217950000001,"FarmaElías, 1533, Avenida Libertador Simón Bolívar, Portales, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.374200300000002,-66.1621921,"FarmaElías, 1533, Avenida Libertador Simón Bolívar, Portales, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.3741486,-66.16220600000001,"FarmaElías, 1533, Avenida Libertador Simón Bolívar, Portales, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4171589,-66.15723200000001,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.417078500000002,-66.1572168,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
-17.4170045,-66.15720730000001,"Avenida Panamericana, Independencia, Cochabamba, Cercado, Cochabamba, Bolivia"
