                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2149,                 5.6362,                0.99201,                0.02645,                0.20082,                0.09293,                0.06892,                 1.0464,                 3.7777,                0.89729,              0.0001719,              0.0001719,              0.0001719
                      2,                 1.1497,                 3.5164,                0.95503,                0.98034,                0.06799,                0.18392,                0.13152,                 1.0405,                 2.8363,                0.92083,             0.00034608,             0.00034608,             0.00034608
                      3,                 1.1226,                 2.8842,                0.96237,                0.54836,                0.27438,                0.27466,                0.18706,                 1.0661,                 1.4914,                0.91875,             0.00051911,             0.00051911,             0.00051911
                      4,                 1.1035,                 2.5525,                0.95659,                0.51945,                0.34318,                0.31013,                0.21161,                 1.0509,                 1.3706,                0.94536,             0.00052079,             0.00052079,             0.00052079
                      5,                 1.0596,                  2.412,                 0.9627,                0.65955,                0.33863,                 0.3664,                0.25044,                  1.005,                 1.1438,                0.92296,             0.00051906,             0.00051906,             0.00051906
                      6,                 1.0346,                 2.2026,                0.94331,                0.47291,                0.41569,                0.35732,                 0.2559,                0.99303,                 1.1251,                0.92475,             0.00051732,             0.00051732,             0.00051732
                      7,                 1.0093,                 1.9615,                0.92708,                0.40454,                0.44583,                0.42413,                0.30331,                0.95439,                0.98529,                0.90071,             0.00051559,             0.00051559,             0.00051559
                      8,                   1.02,                 1.8725,                0.93406,                0.61024,                0.47061,                0.41054,                0.28929,                0.98907,                 1.0963,                0.91098,             0.00051385,             0.00051385,             0.00051385
                      9,                0.98663,                 1.6979,                0.93973,                0.41551,                0.43216,                0.44471,                0.33181,                 0.9468,                0.96856,                0.90981,             0.00051211,             0.00051211,             0.00051211
                     10,                0.95113,                 1.5609,                0.92567,                0.61505,                0.49306,                0.49676,                0.35299,                0.95255,                  0.897,                0.89454,             0.00051038,             0.00051038,             0.00051038
                     11,                0.99953,                 1.5414,                0.93703,                0.41483,                0.63725,                0.54013,                0.40296,                0.93279,                0.84807,                0.90075,             0.00050864,             0.00050864,             0.00050864
                     12,                0.95042,                 1.4273,                0.92985,                0.62133,                0.50205,                0.55865,                0.40236,                0.92266,                0.87523,                0.90379,             0.00050691,             0.00050691,             0.00050691
                     13,                 0.9794,                 1.3766,                0.93488,                0.65862,                0.55291,                0.53442,                0.39764,                0.94402,                 0.8941,                0.91943,             0.00050517,             0.00050517,             0.00050517
                     14,                 0.9274,                 1.2526,                0.92087,                0.40975,                0.61229,                0.59051,                0.44535,                0.92597,                0.87552,                0.89817,             0.00050343,             0.00050343,             0.00050343
                     15,                0.95137,                 1.2035,                0.91155,                0.50472,                0.66405,                0.67418,                0.50308,                0.94014,                0.80827,                0.90135,              0.0005017,              0.0005017,              0.0005017
                     16,                0.93043,                 1.1481,                0.92028,                0.69036,                0.55354,                0.59994,                0.43632,                0.90701,                0.77532,                0.89208,             0.00049996,             0.00049996,             0.00049996
                     17,                0.95692,                 1.0819,                0.91499,                 0.5683,                0.62265,                0.61541,                0.45896,                0.90533,                 0.7547,                0.89208,             0.00049823,             0.00049823,             0.00049823
                     18,                0.90688,                 1.0372,                0.90885,                  0.497,                0.71351,                0.60192,                0.44099,                0.93756,                 0.8137,                0.89934,             0.00049649,             0.00049649,             0.00049649
                     19,                0.92974,                 1.0355,                0.91174,                0.56608,                0.61452,                0.58759,                 0.4394,                0.89874,                0.71852,                0.89633,             0.00049476,             0.00049476,             0.00049476
                     20,                0.92335,                 1.0091,                0.90822,                 0.5771,                0.63801,                 0.6371,                0.46613,                 0.9594,                0.73313,                0.90769,             0.00049302,             0.00049302,             0.00049302
                     21,                0.90332,                0.94438,                0.89701,                0.54274,                 0.7925,                0.64549,                0.47897,                0.89878,                0.77393,                0.89686,             0.00049128,             0.00049128,             0.00049128
                     22,                0.91496,                0.94019,                0.90134,                0.70569,                0.58339,                0.60463,                0.44475,                0.89477,                0.72494,                0.89716,             0.00048955,             0.00048955,             0.00048955
