                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2401,                 5.4432,                 1.0404,                 1.4318,                 11.054,                0.98217,                0.00448,                0.19572,                0.00448,                0.00271,                 1.0889,                 5.8427,                0.87634,                 1.1194,                  13.06,                0.83663,              0.0001315,              0.0001315,              0.0001315
                      2,                 1.2235,                 3.9489,                0.98221,                 1.3949,                 9.3141,                0.94029,                0.00378,                0.23692,                0.01657,                0.01169,                 1.0531,                 5.7658,                0.90684,                 1.0934,                 12.871,                0.84616,             0.00026737,             0.00026737,             0.00026737
                      3,                 1.1733,                 3.1655,                0.99098,                 1.3419,                  8.449,                0.94137,                0.00281,                0.34394,                0.11245,                0.08018,                 1.0457,                 5.2598,                0.92442,                 1.0559,                 12.102,                0.83805,             0.00040235,             0.00040235,             0.00040235
                      4,                 1.1443,                 2.7344,                0.99491,                 1.3501,                 7.7193,                0.94748,                0.99177,                0.03452,                0.10513,                0.07208,                  1.081,                 4.6228,                0.97613,                 1.1322,                 11.055,                0.91207,             0.00052079,             0.00052079,             0.00052079
                      5,                 1.0913,                 2.4093,                0.96821,                 1.3188,                 6.7604,                0.94093,                0.90747,                0.04327,                0.18687,                0.12914,                 1.0956,                 3.8428,                0.99139,                 1.1042,                  9.385,                0.91066,             0.00052079,             0.00052079,             0.00052079
                      6,                 1.1073,                 2.3551,                0.98607,                 1.2895,                 6.5163,                0.95724,                0.73528,                 0.1397,                0.22762,                0.16341,                 1.0876,                  2.912,                0.99025,                 1.1601,                 8.0084,                 0.9396,             0.00051906,             0.00051906,             0.00051906
                      7,                 1.0773,                 2.1082,                0.98523,                 1.2897,                 5.7573,                0.96723,                0.60998,                0.20704,                0.29847,                0.19692,                  1.021,                 2.2858,                0.96122,                 1.1574,                  6.684,                0.93626,             0.00051732,             0.00051732,             0.00051732
                      8,                 1.0505,                   1.93,                0.95047,                 1.2621,                 5.1921,                0.93749,                0.73613,                0.21699,                0.29433,                0.21646,                0.99773,                 1.9687,                0.96142,                 1.1139,                 5.8116,                0.94161,             0.00051559,             0.00051559,             0.00051559
                      9,                 1.0525,                 1.7821,                0.96326,                 1.2581,                 4.6339,                0.94788,                0.76401,                0.30297,                0.34565,                0.22696,                 1.0265,                 1.8349,                0.95443,                 1.1371,                 5.3252,                0.93919,             0.00051385,             0.00051385,             0.00051385
                     10,                 1.0114,                 1.6154,                0.97144,                 1.1974,                 4.1691,                 0.9541,                0.77039,                0.29159,                0.35137,                0.24403,                0.97566,                 1.6651,                0.94999,                 1.1175,                 4.6416,                0.94415,             0.00051211,             0.00051211,             0.00051211
                     11,                0.99146,                 1.5703,                0.95413,                 1.2048,                 3.7851,                0.94542,                0.73956,                0.32121,                0.43066,                0.32087,                0.96564,                 1.6438,                0.93645,                 1.0541,                 4.2804,                0.92351,             0.00051038,             0.00051038,             0.00051038
                     12,                   1.02,                 1.5225,                0.95947,                 1.2082,                  3.452,                0.94052,                0.64579,                0.37687,                0.39234,                0.28645,                0.94629,                 1.5634,                  0.932,                 1.0653,                 4.0455,                0.92259,             0.00050864,             0.00050864,             0.00050864
                     13,                 0.9794,                 1.4238,                0.93854,                 1.1898,                 3.1802,                 0.9379,                0.67802,                0.38146,                0.42428,                0.31188,                0.95941,                  1.388,                 0.9305,                 1.0976,                 3.5422,                0.93754,             0.00050691,             0.00050691,             0.00050691
                     14,                0.97217,                 1.3341,                0.94845,                 1.1789,                  2.938,                0.93929,                0.79913,                0.35989,                0.46769,                0.33049,                0.94155,                 1.3564,                0.93608,                 1.0795,                 3.1422,                0.92636,             0.00050517,             0.00050517,             0.00050517
                     15,                0.97642,                 1.2789,                 0.9291,                 1.1708,                 2.6952,                0.92298,                0.57545,                0.39859,                0.45113,                0.32807,                0.92343,                 1.2347,                0.93355,                 1.0962,                 2.9566,                0.94084,             0.00050343,             0.00050343,             0.00050343
                     16,                0.95128,                 1.2061,                0.93527,                 1.1331,                 2.5321,                0.92831,                0.49831,                0.43967,                0.47753,                0.34483,                0.91906,                 1.2583,                0.93166,                 1.0439,                 2.8586,                0.92506,              0.0005017,              0.0005017,              0.0005017
                     17,                 0.9936,                 1.2385,                0.95447,                 1.1918,                 2.4722,                0.95203,                0.53239,                0.49549,                0.50653,                0.34886,                0.94859,                 1.2083,                 0.9244,                 1.0824,                 2.6396,                0.93031,             0.00049996,             0.00049996,             0.00049996
