epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.89785,1.23621,5.93125,1.01835,0.15427,0.0434,0.10784,0.07735,1.11955,4.34606,0.87343,0.0001315,0.0001315,0.0001315
2,19.8753,1.21507,4.13202,0.9871,0.02132,0.16813,0.04538,0.03114,1.01922,4.00047,0.8865,0.000267375,0.000267375,0.000267375
3,29.5173,1.0892,3.07543,0.94495,0.01383,0.33278,0.1142,0.07951,1.01349,3.57675,0.88205,0.000402347,0.000402347,0.000402347
4,39.4105,1.10444,2.78389,0.95715,0.0092,0.50962,0.22759,0.1587,0.99783,2.96955,0.91324,0.000520793,0.000520793,0.000520793
5,49.357,1.08616,2.55589,0.95032,0.86277,0.19407,0.28486,0.20073,1.05722,1.97439,0.93018,0.000519057,0.000519057,0.000519057
6,58.7171,1.09469,2.43562,0.97049,0.56443,0.28776,0.27578,0.20213,1.00257,1.42574,0.9556,0.000517321,0.000517321,0.000517321
7,68.0822,1.05581,2.22783,0.96384,0.67637,0.35572,0.38117,0.27385,1.02151,1.22916,0.97065,0.000515585,0.000515585,0.000515585
8,76.9752,1.06031,2.02605,0.96077,0.59915,0.39884,0.39363,0.27081,0.99281,1.10788,0.92981,0.000513849,0.000513849,0.000513849
9,87.0887,1.02483,1.89432,0.94922,0.52009,0.41776,0.41608,0.30087,0.9475,0.98286,0.91667,0.000512114,0.000512114,0.000512114
10,96.4671,1.0099,1.80418,0.94388,0.67872,0.45655,0.43053,0.31218,0.94881,0.98566,0.91645,0.000510378,0.000510378,0.000510378
11,105.671,0.98952,1.62904,0.93399,0.57167,0.40174,0.42658,0.31567,0.99482,1.37629,0.9338,0.000508642,0.000508642,0.000508642
12,115.445,1.02022,1.65249,0.95161,0.44616,0.38811,0.43302,0.31453,0.95983,1.17773,0.92417,0.000506906,0.000506906,0.000506906
13,124.569,1.00522,1.5121,0.93617,0.54802,0.52782,0.49663,0.37748,0.98129,0.97184,0.93108,0.00050517,0.00050517,0.00050517
14,134.318,0.98622,1.41604,0.94982,0.7409,0.42018,0.52791,0.3934,0.934,0.88267,0.91448,0.000503435,0.000503435,0.000503435
15,144.41,0.98584,1.39864,0.92972,0.78769,0.41442,0.51914,0.39262,0.92722,0.91568,0.90777,0.000501699,0.000501699,0.000501699
16,153.83,0.95764,1.27523,0.93921,0.56279,0.48216,0.52927,0.38688,0.92991,0.90341,0.91666,0.000499963,0.000499963,0.000499963
17,162.81,0.9316,1.22169,0.92373,0.77891,0.43938,0.51292,0.38594,0.93336,0.91054,0.91336,0.000498227,0.000498227,0.000498227
18,172.09,0.93186,1.20349,0.9278,0.59805,0.50884,0.57796,0.41665,0.93133,0.86618,0.90912,0.000496491,0.000496491,0.000496491
19,180.778,0.93642,1.13545,0.91381,0.6104,0.58706,0.61608,0.44348,0.93443,0.88464,0.92713,0.000494756,0.000494756,0.000494756
20,189.92,0.924,1.13073,0.92019,0.62736,0.57222,0.60284,0.45633,0.9059,0.8662,0.91173,0.00049302,0.00049302,0.00049302
21,198.733,0.94963,1.09401,0.91306,0.57549,0.59548,0.58381,0.43166,0.94537,0.87904,0.91706,0.000491284,0.000491284,0.000491284
22,207.947,0.90524,1.03772,0.92315,0.55262,0.61131,0.57093,0.42069,0.93259,0.80698,0.91947,0.000489548,0.000489548,0.000489548
23,216.909,0.92499,0.98765,0.92345,0.72501,0.56447,0.60362,0.45241,0.92177,0.85993,0.91674,0.000487812,0.000487812,0.000487812
24,225.699,0.88688,0.93358,0.90287,0.67567,0.53805,0.64093,0.49403,0.87514,0.78826,0.91102,0.000486077,0.000486077,0.000486077
25,235.604,0.89206,0.93069,0.91805,0.7749,0.6169,0.70893,0.53928,0.88912,0.73911,0.90456,0.000484341,0.000484341,0.000484341
26,244.412,0.89282,0.91014,0.90999,0.59748,0.68778,0.61833,0.43859,0.9083,0.7274,0.91098,0.000482605,0.000482605,0.000482605
27,253.243,0.88445,0.85609,0.90912,0.8568,0.5402,0.63322,0.47871,0.91237,0.79088,0.91078,0.000480869,0.000480869,0.000480869
28,262.118,0.87087,0.86775,0.91296,0.81398,0.65264,0.72757,0.54514,0.89248,0.71179,0.90751,0.000479133,0.000479133,0.000479133
29,270.882,0.89136,0.80767,0.92068,0.72391,0.6431,0.71671,0.54346,0.92597,0.75075,0.91257,0.000477398,0.000477398,0.000477398
30,279.796,0.88467,0.78765,0.90551,0.65974,0.74025,0.75146,0.56318,0.90233,0.67854,0.9013,0.000475662,0.000475662,0.000475662
31,288.53,0.88484,0.7969,0.90128,0.59034,0.7828,0.75445,0.56864,0.88329,0.70929,0.89474,0.000473926,0.000473926,0.000473926
32,297.521,0.87372,0.80548,0.90072,0.66466,0.66265,0.66757,0.5116,0.89383,0.7501,0.90026,0.00047219,0.00047219,0.00047219
33,306.46,0.89516,0.77809,0.91341,0.66198,0.66739,0.72538,0.55872,0.90048,0.68464,0.907,0.000470454,0.000470454,0.000470454
34,315.179,0.8747,0.75306,0.8988,0.71813,0.71816,0.74621,0.58653,0.88481,0.63679,0.89829,0.000468719,0.000468719,0.000468719
35,324.565,0.88591,0.73864,0.90343,0.61005,0.73251,0.72936,0.54281,0.89465,0.81443,0.901,0.000466983,0.000466983,0.000466983
36,333.393,0.89066,0.73962,0.90955,0.84986,0.71967,0.8188,0.60121,0.90874,0.63159,0.90787,0.000465247,0.000465247,0.000465247
37,342.141,0.84172,0.71683,0.90064,0.79115,0.83029,0.81739,0.61038,0.88274,0.61075,0.8987,0.000463511,0.000463511,0.000463511
38,351.297,0.86527,0.70718,0.91239,0.75588,0.75994,0.76672,0.5599,0.90703,0.66156,0.91057,0.000461775,0.000461775,0.000461775
39,359.944,0.86063,0.69736,0.89357,0.68735,0.77285,0.74106,0.5605,0.93577,0.66061,0.91545,0.00046004,0.00046004,0.00046004
40,368.663,0.86395,0.69821,0.90597,0.78012,0.72334,0.76656,0.59347,0.8607,0.6077,0.89116,0.000458304,0.000458304,0.000458304
41,377.233,0.85185,0.68354,0.89847,0.71108,0.72522,0.75805,0.58657,0.90902,0.6663,0.90819,0.000456568,0.000456568,0.000456568
42,386.058,0.85093,0.66418,0.89305,0.76711,0.69426,0.7351,0.55577,0.8959,0.72086,0.90397,0.000454832,0.000454832,0.000454832
43,394.92,0.8198,0.61773,0.88713,0.74973,0.79641,0.8622,0.64682,0.86713,0.56378,0.89679,0.000453096,0.000453096,0.000453096
44,403.681,0.83445,0.63811,0.89544,0.80291,0.76183,0.86094,0.6476,0.87956,0.57944,0.89591,0.000451361,0.000451361,0.000451361
45,413.105,0.86021,0.6449,0.89733,0.73354,0.76502,0.85112,0.63979,0.89916,0.61047,0.90367,0.000449625,0.000449625,0.000449625
46,421.994,0.83245,0.63383,0.89942,0.8682,0.72522,0.82405,0.59884,0.86201,0.60354,0.89091,0.000447889,0.000447889,0.000447889
47,430.733,0.83648,0.59255,0.88718,0.83565,0.70675,0.81737,0.61782,0.84999,0.57704,0.8874,0.000446153,0.000446153,0.000446153
48,439.586,0.81807,0.6014,0.88842,0.66383,0.80756,0.79846,0.60141,0.85141,0.57445,0.89268,0.000444417,0.000444417,0.000444417
49,448.341,0.81273,0.60142,0.8974,0.74343,0.69927,0.7737,0.56122,0.89374,0.75111,0.90037,0.000442682,0.000442682,0.000442682
50,457.07,0.85359,0.64164,0.88991,0.67649,0.87368,0.82367,0.62098,0.9007,0.68847,0.89918,0.000440946,0.000440946,0.000440946
51,465.797,0.84928,0.62456,0.88409,0.91683,0.70618,0.86325,0.63799,0.85667,0.56172,0.88528,0.00043921,0.00043921,0.00043921
52,474.902,0.83283,0.62127,0.89302,0.90079,0.83438,0.92038,0.68405,0.86183,0.54602,0.89107,0.000437474,0.000437474,0.000437474
53,483.677,0.82075,0.58791,0.88812,0.79928,0.80772,0.87178,0.65741,0.88205,0.58547,0.90356,0.000435738,0.000435738,0.000435738
54,492.489,0.82293,0.60999,0.90854,0.76434,0.81461,0.87088,0.66319,0.87246,0.56177,0.89872,0.000434003,0.000434003,0.000434003
55,501.269,0.81116,0.58707,0.89599,0.76442,0.74457,0.82985,0.63066,0.856,0.61039,0.89276,0.000432267,0.000432267,0.000432267
56,509.906,0.81251,0.57308,0.88108,0.82233,0.77821,0.83537,0.64694,0.86375,0.59752,0.89537,0.000430531,0.000430531,0.000430531
57,518.622,0.81541,0.58853,0.88823,0.80816,0.88784,0.91148,0.69033,0.83411,0.54209,0.88154,0.000428795,0.000428795,0.000428795
58,527.271,0.86003,0.58326,0.881,0.79133,0.71448,0.82,0.61833,0.86913,0.62068,0.90231,0.000427059,0.000427059,0.000427059
59,536.155,0.80816,0.55763,0.89192,0.73114,0.85754,0.85475,0.63957,0.86977,0.56599,0.89236,0.000425324,0.000425324,0.000425324
60,544.998,0.77485,0.54438,0.86905,0.76249,0.85557,0.87144,0.64404,0.84352,0.55858,0.88274,0.000423588,0.000423588,0.000423588
61,553.578,0.81145,0.56135,0.88895,0.82582,0.67342,0.82422,0.62621,0.86129,0.60353,0.8906,0.000421852,0.000421852,0.000421852
62,562.492,0.78708,0.54668,0.8759,0.86477,0.75905,0.86733,0.65229,0.85388,0.56122,0.88931,0.000420116,0.000420116,0.000420116
63,571.271,0.79178,0.54771,0.88245,0.80834,0.81217,0.88743,0.66351,0.8858,0.55008,0.89361,0.00041838,0.00041838,0.00041838
64,580.156,0.79496,0.51844,0.88157,0.80894,0.87492,0.88899,0.66789,0.873,0.53828,0.89389,0.000416645,0.000416645,0.000416645
65,588.91,0.76762,0.52061,0.8865,0.88255,0.85943,0.9095,0.68463,0.85742,0.51365,0.89036,0.000414909,0.000414909,0.000414909
66,597.712,0.77252,0.51017,0.86782,0.87135,0.86208,0.89071,0.67527,0.82448,0.51285,0.88788,0.000413173,0.000413173,0.000413173
67,606.482,0.78088,0.51739,0.88825,0.83614,0.82643,0.89528,0.69389,0.85403,0.52417,0.88947,0.000411437,0.000411437,0.000411437
68,615.412,0.78446,0.52864,0.88718,0.71096,0.81858,0.84655,0.6574,0.84802,0.54086,0.8855,0.000409701,0.000409701,0.000409701
69,624.373,0.82266,0.52448,0.89026,0.90827,0.75526,0.88605,0.65804,0.86856,0.55026,0.89553,0.000407966,0.000407966,0.000407966
70,633.01,0.78073,0.52091,0.87963,0.80032,0.8551,0.8781,0.6503,0.85948,0.54256,0.89037,0.00040623,0.00040623,0.00040623
71,641.752,0.77508,0.53084,0.87568,0.80472,0.86186,0.90429,0.66136,0.85502,0.50548,0.88791,0.000404494,0.000404494,0.000404494
72,650.859,0.76412,0.50678,0.87189,0.79363,0.82427,0.85916,0.64412,0.86553,0.5248,0.89062,0.000402758,0.000402758,0.000402758
73,659.628,0.8029,0.51639,0.88052,0.85003,0.81715,0.8789,0.67984,0.86579,0.5293,0.8946,0.000401022,0.000401022,0.000401022
74,668.422,0.7694,0.51208,0.87154,0.7932,0.76261,0.82282,0.61128,0.94964,0.6146,0.93723,0.000399287,0.000399287,0.000399287
75,677.129,0.78264,0.51592,0.87877,0.82217,0.79347,0.88516,0.6635,0.87666,0.53634,0.89837,0.000397551,0.000397551,0.000397551
76,685.936,0.74648,0.50122,0.87272,0.88865,0.82342,0.91133,0.68741,0.85877,0.49926,0.89011,0.000395815,0.000395815,0.000395815
77,694.627,0.7763,0.4951,0.8735,0.8143,0.88069,0.92608,0.67047,0.89183,0.50422,0.8953,0.000394079,0.000394079,0.000394079
78,703.433,0.77009,0.50758,0.86888,0.79862,0.85587,0.88278,0.68249,0.88078,0.50148,0.88795,0.000392343,0.000392343,0.000392343
79,712.32,0.76516,0.50033,0.87239,0.92306,0.78322,0.88157,0.69549,0.8545,0.48793,0.88792,0.000390608,0.000390608,0.000390608
80,721.107,0.73644,0.46826,0.87123,0.86128,0.88562,0.9022,0.68658,0.85952,0.48987,0.88471,0.000388872,0.000388872,0.000388872
81,730.004,0.77525,0.49416,0.87217,0.92442,0.84995,0.9214,0.67244,0.87541,0.50367,0.88529,0.000387136,0.000387136,0.000387136
82,738.703,0.77232,0.49178,0.87281,0.82806,0.94537,0.93594,0.70568,0.84256,0.46927,0.8839,0.0003854,0.0003854,0.0003854
83,747.529,0.76272,0.49145,0.87629,0.82308,0.84982,0.90685,0.71118,0.86202,0.49148,0.89151,0.000383664,0.000383664,0.000383664
84,756.502,0.76513,0.49121,0.88354,0.84224,0.87096,0.87176,0.68452,0.85839,0.49422,0.88633,0.000381929,0.000381929,0.000381929
85,765.241,0.77822,0.51694,0.87803,0.81304,0.85772,0.86438,0.66745,0.86023,0.51576,0.89085,0.000380193,0.000380193,0.000380193
86,773.947,0.76103,0.48083,0.87575,0.8349,0.88364,0.87636,0.67195,0.85886,0.50098,0.88652,0.000378457,0.000378457,0.000378457
87,782.655,0.72702,0.46833,0.85704,0.79756,0.85763,0.864,0.66597,0.86633,0.5044,0.88487,0.000376721,0.000376721,0.000376721
88,791.454,0.75515,0.47585,0.87062,0.82436,0.79064,0.85276,0.66048,0.87805,0.51028,0.89748,0.000374985,0.000374985,0.000374985
89,800.215,0.7456,0.48968,0.8693,0.84456,0.81819,0.87516,0.66156,0.87883,0.49711,0.89481,0.00037325,0.00037325,0.00037325
90,808.969,0.73764,0.46342,0.86897,0.84964,0.83817,0.87787,0.66517,0.87968,0.51037,0.89294,0.000371514,0.000371514,0.000371514
91,817.786,0.74138,0.47517,0.86034,0.84318,0.89768,0.88514,0.68603,0.85126,0.49276,0.88501,0.000369778,0.000369778,0.000369778
92,826.625,0.74885,0.47547,0.85967,0.79957,0.89077,0.90779,0.7061,0.85528,0.48118,0.88905,0.000368042,0.000368042,0.000368042
93,835.475,0.73769,0.48038,0.86775,0.90372,0.84293,0.90915,0.69132,0.87721,0.50413,0.89344,0.000366306,0.000366306,0.000366306
94,844.553,0.72706,0.45019,0.86749,0.92543,0.84618,0.90257,0.68859,0.85419,0.49009,0.88992,0.000364571,0.000364571,0.000364571
95,853.292,0.74305,0.47964,0.87155,0.86316,0.85348,0.90186,0.69595,0.85896,0.4997,0.8888,0.000362835,0.000362835,0.000362835
96,862.079,0.72633,0.44963,0.85942,0.89517,0.79018,0.88703,0.68778,0.84642,0.49114,0.88493,0.000361099,0.000361099,0.000361099
