timestamp,latitud,longitud,velocidad,clase,probabilidad,sonido,tiempoInferencia
1741627584114,-17.4197555,-66.1597728,17,pare,0.8470738,1,451
1741627622277,-17.4190082,-66.1592732,20,limite-velocidad-30,0.7887572,1,467
1741627638173,-17.4196554,-66.1587031,25,limite-velocidad-35,0.8127061,1,439
1741627663223,-17.4202336,-66.1582895,2,zona-escolar,0.7369978,1,454
1741627668469,-17.4203059,-66.15823,10,zona-escolar,0.8525475,1,455
1741627673627,-17.4204391,-66.1581108,10,zona-escolar,0.9157186,1,453
1741627696845,-17.4207652,-66.1578659,12,zona-escolar,0.7523294,1,595
1741627702112,-17.4209406,-66.1578157,16,zona-escolar,0.7989886,1,449
1741627707296,-17.4210493,-66.1578186,10,zona-escolar,0.911031,1,450
1741627712489,-17.4212371,-66.1578385,12,prohibido-girar-u,0.8289013,1,449
1741627731475,-17.4221548,-66.1580681,30,pare,0.7266842,1,443
1741627814530,-17.4263836,-66.158907,23,pare,0.7227324,1,443
1741627859203,-17.427403,-66.1591582,14,zona-escolar,0.8301575,1,458
1741627864453,-17.4276851,-66.159241,19,zona-escolar,0.9263596,1,463
1741627864453,-17.4276851,-66.159241,19,zona-escolar,0.83282477,1,463
1741627871913,-17.427956,-66.1593147,12,prohibido-girar-izquierda,0.77664286,1,745
1741627954111,-17.4309715,-66.1601213,7,pare,0.88143563,1,457
