epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0921,1.32589,4.5851,1.04712,0.60866,0.27168,0.27734,0.18701,1.11322,1.29675,0.94593,0.00017476,0.00017476,0.00017476
2,143.42,1.28339,2.69474,1.06365,0.67376,0.37534,0.40378,0.28323,0.98224,0.96579,0.93386,0.000315434,0.000315434,0.000315434
3,192.26,1.23794,1.90274,1.0523,0.6945,0.48964,0.5413,0.37367,0.97406,1.02409,0.91774,0.000421392,0.000421392,0.000421392
4,241.048,1.18657,1.44335,1.02831,0.74188,0.43526,0.59329,0.40812,0.95019,0.84033,0.92377,0.000369778,0.000369778,0.000369778
5,289.844,1.15223,1.16685,1.01493,0.71855,0.54464,0.6639,0.4691,0.9627,0.77688,0.91947,0.000317704,0.000317704,0.000317704
6,338.644,1.11677,1.00093,0.99797,0.68875,0.62094,0.68462,0.46819,0.98549,0.84536,0.92558,0.00026563,0.00026563,0.00026563
7,387.434,1.07296,0.87065,0.98275,0.6963,0.67828,0.76843,0.54806,0.91117,0.63987,0.90085,0.000213556,0.000213556,0.000213556
8,435.887,1.04786,0.7811,0.97355,0.86516,0.69407,0.76628,0.57552,0.89796,0.5869,0.89855,0.000161482,0.000161482,0.000161482
9,487.105,1.00617,0.72245,0.95457,0.89348,0.76778,0.86181,0.63463,0.853,0.549,0.88133,0.000109408,0.000109408,0.000109408
10,535.77,0.97413,0.67119,0.93906,0.84609,0.78966,0.89324,0.67348,0.85867,0.55252,0.88262,5.7334e-05,5.7334e-05,5.7334e-05
