                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3163,                 7.1949,                 1.2552,                 1.3539,                 24.803,                  1.141,                0.81705,                0.19113,                0.25994,                0.18656,                 1.0099,                 6.1895,                 1.0975,                 1.0776,                 17.928,                 1.0403,              0.0033224,              0.0033224,              0.0033224
                      2,                 1.3332,                 4.7843,                 1.2621,                 1.4299,                 8.2634,                  1.199,                0.53439,                0.34135,                0.34053,                0.22846,                 1.1135,                 3.7394,                 1.1391,                 1.2566,                  3.868,                 1.1498,              0.0066338,              0.0066338,              0.0066338
                      1,                 1.3938,                 4.0866,                 1.1124,                 1.5746,                 9.7961,                 1.0403,                0.70876,                 0.2215,                0.24119,                0.15711,                 1.1077,                 2.9425,                0.98338,                 1.2336,                 9.1295,                0.95751,              0.0033224,              0.0033224,              0.0033224
                      2,                 1.4065,                 2.7981,                  1.115,                 1.5871,                  6.277,                 1.0753,                0.45545,                0.27125,                0.30264,                0.17939,                 1.1263,                 2.5427,                 1.0123,                 1.2596,                 4.9012,                0.98716,              0.0066338,              0.0066338,              0.0066338
                      3,                 1.4325,                 2.4776,                 1.1372,                 1.6546,                 3.5312,                 1.1209,                0.62244,                0.28186,                0.28932,                0.18752,                 1.1862,                 2.6637,                 1.0403,                 1.3205,                  3.251,                 1.0371,              0.0099232,              0.0099232,              0.0099232
                      4,                 1.4538,                 1.9667,                 1.1755,                 1.6938,                 2.1643,                  1.168,                0.34866,                0.34738,                0.31934,                0.20236,                 1.2591,                 1.7103,                  1.083,                 1.4246,                 1.6024,                 1.0847,               0.009901,               0.009901,               0.009901
                      5,                 1.4072,                 1.5027,                 1.1808,                 1.6529,                 1.7155,                 1.1768,                0.49906,                 0.4169,                0.37215,                0.24588,                 1.1565,                 1.3176,                 1.0425,                 1.3394,                 1.3906,                 1.0448,               0.009901,               0.009901,               0.009901
                      6,                 1.3535,                 1.2499,                 1.1393,                 1.6146,                 1.5031,                 1.1546,                0.50891,                0.41505,                0.45983,                  0.306,                 1.0595,                  1.065,                 1.0095,                 1.2507,                 1.2824,                   1.01,               0.009868,               0.009868,               0.009868
                      7,                 1.3447,                 1.1109,                 1.1379,                 1.5997,                 1.3214,                 1.1443,                0.58085,                0.52418,                0.55084,                0.36142,                 1.0967,                0.96748,                 1.0153,                 1.2376,                 1.0796,                 1.0044,               0.009835,               0.009835,               0.009835
                      8,                 1.2978,                 1.0404,                 1.1146,                 1.5656,                 1.2654,                 1.1231,                0.75371,                0.45387,                 0.5476,                0.39077,                 1.0014,                0.89018,                0.98279,                 1.1715,                0.95412,                0.98348,               0.009802,               0.009802,               0.009802
                      9,                 1.2903,                0.98155,                 1.1203,                 1.5392,                 1.1654,                 1.1221,                0.54764,                0.47854,                0.53519,                0.37461,                 1.0232,                0.81204,                0.98903,                 1.1584,                0.92184,                0.99198,               0.009769,               0.009769,               0.009769
                     10,                 1.2752,                0.94233,                 1.1178,                 1.5298,                 1.1639,                 1.1299,                0.66213,                0.67057,                 0.6642,                0.48971,                0.98622,                0.78186,                0.99323,                 1.0884,                 0.7501,                0.97898,               0.009736,               0.009736,               0.009736
                     11,                 1.2753,                0.89818,                  1.109,                 1.5264,                 1.0725,                 1.1134,                0.72394,                0.60594,                0.67821,                0.46096,                 1.0386,                 0.7477,                0.99765,                 1.1946,                0.72044,                 1.0039,               0.009703,               0.009703,               0.009703
                     12,                  1.262,                0.87316,                 1.1112,                 1.5147,                  1.044,                 1.1213,                0.73551,                0.58755,                0.68469,                0.46935,                 0.9818,                0.72208,                0.95681,                 1.1261,                0.75731,                0.96483,                0.00967,                0.00967,                0.00967
                     13,                 1.2351,                0.81379,                 1.0878,                  1.465,                0.96433,                 1.0919,                0.76801,                0.59237,                 0.7084,                0.49969,                0.97346,                0.68992,                0.96392,                 1.0837,                0.69448,                0.95633,               0.009637,               0.009637,               0.009637
                     14,                 1.2398,                 0.8135,                 1.0962,                 1.4913,                 0.9435,                 1.1095,                0.71923,                0.66144,                0.68243,                0.49317,                0.94933,                0.65984,                0.95519,                 1.0928,                0.65856,                0.96321,               0.009604,               0.009604,               0.009604
                     15,                 1.2117,                 0.7828,                 1.0715,                 1.4453,                0.90203,                 1.0802,                0.75805,                0.62681,                0.73664,                 0.5244,                0.98888,                0.68033,                 0.9702,                 1.1363,                0.64787,                0.96988,               0.009571,               0.009571,               0.009571
                     16,                 1.2217,                 0.7769,                 1.0807,                 1.4644,                 0.8946,                 1.0889,                0.76487,                0.69513,                0.73947,                0.50218,                 1.0855,                0.64857,                 1.0071,                 1.1946,                0.58953,                 1.0057,               0.009538,               0.009538,               0.009538
                     17,                 1.2141,                0.76244,                 1.0803,                 1.4492,                0.89738,                 1.0926,                0.74632,                0.61582,                0.70503,                0.52041,                0.94972,                0.63211,                0.95147,                  1.105,                0.65313,                0.95748,               0.009505,               0.009505,               0.009505
                     18,                  1.182,                0.73429,                   1.07,                 1.4114,                0.83988,                 1.0777,                0.78776,                0.63366,                0.75375,                0.53277,                 0.9528,                0.61188,                0.94957,                 1.0617,                0.64438,                 0.9526,               0.009472,               0.009472,               0.009472
