                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3798,                 4.2072,                 1.0634,                0.51899,                0.32481,                0.27455,                0.19021,                 1.0465,                 1.3108,                0.92805,              0.0033224,              0.0033224,              0.0033224
                      2,                 1.3436,                 2.6974,                  1.059,                0.68034,                0.32799,                0.38173,                0.24506,                 1.1219,                 1.0751,                0.98248,              0.0066338,              0.0066338,              0.0066338
                      3,                 1.3537,                 2.1163,                 1.0749,                0.35341,                0.55652,                0.44226,                0.29575,                 1.1405,                 1.2484,                0.99374,              0.0099232,              0.0099232,              0.0099232
                      4,                 1.4106,                 1.6656,                 1.1267,                0.46081,                0.45385,                0.43357,                0.29276,                 1.1843,                 1.0235,                 1.0214,               0.009901,               0.009901,               0.009901
                      5,                 1.3741,                 1.2881,                 1.1239,                0.56452,                0.41962,                0.47441,                0.34326,                 1.1282,                  0.968,                 1.0012,               0.009868,               0.009868,               0.009868
                      6,                 1.3566,                 1.1278,                 1.1157,                 0.6839,                0.55139,                0.61421,                0.41036,                 1.1294,                0.93405,                 1.0053,               0.009835,               0.009835,               0.009835
                      7,                 1.3033,                 1.0045,                 1.0892,                0.51118,                0.70287,                0.65114,                 0.4654,                 1.0539,                0.80514,                0.98138,               0.009802,               0.009802,               0.009802
                      8,                 1.2979,                0.97997,                 1.0775,                0.59824,                0.67601,                0.66809,                0.46909,                  1.027,                0.80857,                0.96178,               0.009769,               0.009769,               0.009769
                      9,                 1.2769,                0.91163,                 1.0792,                0.64949,                0.60366,                0.66816,                 0.4864,                 1.0074,                0.78445,                0.96828,               0.009736,               0.009736,               0.009736
                     10,                 1.2643,                0.88666,                 1.0762,                0.79776,                0.62167,                0.75123,                0.53189,                0.98543,                0.68692,                0.94822,               0.009703,               0.009703,               0.009703
                     11,                 1.2342,                 0.8345,                 1.0595,                 0.7599,                 0.6144,                0.71951,                0.52815,                 1.0003,                0.72182,                 0.9612,                0.00967,                0.00967,                0.00967
                     12,                  1.243,                0.81813,                  1.062,                 0.6861,                0.67772,                 0.7287,                 0.5113,                 1.0189,                 0.6803,                 0.9554,               0.009637,               0.009637,               0.009637
                     13,                 1.2231,                0.78409,                 1.0539,                0.80818,                0.70467,                0.80135,                0.54207,                 1.0712,                0.68975,                0.97545,               0.009604,               0.009604,               0.009604
                     14,                 1.2038,                0.77015,                 1.0596,                0.69807,                0.91145,                0.88644,                0.62603,                0.99223,                0.58279,                0.95003,               0.009571,               0.009571,               0.009571
                     15,                 1.1872,                0.73682,                  1.048,                0.88294,                0.68009,                0.80944,                0.59663,                0.92452,                0.60796,                 0.9289,               0.009538,               0.009538,               0.009538
                     16,                 1.1847,                0.74339,                  1.047,                 0.8489,                 0.6757,                 0.7841,                0.56853,                 1.0096,                0.64033,                0.94299,               0.009505,               0.009505,               0.009505
                     17,                 1.1814,                0.72965,                 1.0377,                0.86671,                0.66412,                0.82178,                0.59384,                0.95491,                0.60807,                0.93293,               0.009472,               0.009472,               0.009472
                     18,                 1.1733,                0.70915,                 1.0384,                 0.7453,                0.84286,                0.81411,                0.60759,                0.95848,                0.62049,                0.94468,               0.009439,               0.009439,               0.009439
                     19,                 1.1417,                0.69647,                 1.0318,                0.87873,                0.74918,                0.83753,                0.60653,                0.93723,                0.56726,                0.92961,               0.009406,               0.009406,               0.009406
                     20,                 1.1515,                0.70094,                 1.0355,                0.76338,                 0.8348,                0.83858,                 0.6137,                0.95517,                0.56812,                0.92974,               0.009373,               0.009373,               0.009373
                     21,                 1.1464,                0.67111,                 1.0294,                0.87393,                0.72368,                0.83243,                0.59966,                0.97226,                 0.5601,                0.94331,                0.00934,                0.00934,                0.00934
