                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.334,                 4.4711,                 1.0339,                0.89445,                 0.2148,                0.28448,                0.19951,                 1.0435,                 1.2138,                0.91224,             0.00017476,             0.00017476,             0.00017476
                      2,                 1.2691,                  2.532,                 1.0251,                0.41839,                0.42549,                0.45215,                0.30172,                 1.0085,                 1.0258,                0.91741,             0.00031543,             0.00031543,             0.00031543
                      3,                  1.241,                 1.8026,                 1.0284,                0.46455,                0.54143,                0.57991,                0.41882,                0.98653,                0.89102,                0.90654,             0.00042139,             0.00042139,             0.00042139
                      4,                 1.1981,                 1.3429,                 1.0101,                0.46938,                0.64409,                0.62011,                 0.4278,                0.98182,                0.81836,                0.90167,             0.00036978,             0.00036978,             0.00036978
                      5,                 1.1531,                 1.0767,                0.99549,                0.69873,                0.59703,                0.68685,                0.50227,                0.92882,                0.72718,                0.89293,              0.0003177,              0.0003177,              0.0003177
                      6,                 1.1141,                0.91699,                0.97862,                0.88814,                0.63043,                0.77464,                0.56299,                 0.9733,                0.65213,                0.89857,             0.00026563,             0.00026563,             0.00026563
                      7,                 1.0724,                0.81792,                0.96782,                0.82865,                0.77866,                0.83565,                0.63383,                0.89235,                0.58287,                0.87811,             0.00021356,             0.00021356,             0.00021356
                      8,                 1.0419,                0.73164,                 0.9576,                0.80041,                0.77524,                0.84129,                0.61626,                0.92003,                0.57276,                0.88173,             0.00016148,             0.00016148,             0.00016148
                      9,                 1.0121,                0.68307,                0.94657,                 0.8047,                0.84472,                0.87711,                0.63978,                0.89333,                0.55401,                0.87352,             0.00010941,             0.00010941,             0.00010941
                     10,                0.97789,                0.63146,                0.93599,                 0.8006,                0.81077,                0.86672,                0.65564,                0.86718,                0.52534,                0.87038,             5.7334e-05,             5.7334e-05,             5.7334e-05
