                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2348,                 5.4474,                 1.0391,                 1.4251,                 11.049,                0.98208,                0.00415,                0.18449,                0.00427,                0.00241,                 1.0931,                 5.8867,                0.87746,                 1.1368,                 13.151,                0.83686,              0.0001315,              0.0001315,              0.0001315
                      2,                 1.2284,                 3.9015,                0.98644,                 1.3664,                 9.2716,                0.93981,                0.00308,                0.29286,                0.05564,                0.02406,                 0.9979,                 5.7447,                 0.8871,                 1.1008,                 12.889,                0.83725,             0.00026693,             0.00026693,             0.00026693
                      3,                 1.1643,                  3.123,                0.98996,                 1.3644,                 8.4822,                0.93906,                0.00188,                0.28715,                0.07986,                 0.0573,                  1.065,                 5.3828,                 0.9211,                 1.1155,                 12.249,                0.85022,             0.00040101,             0.00040101,             0.00040101
                      4,                 1.1281,                 2.7569,                0.98077,                  1.342,                 7.7017,                0.94306,                0.83692,                 0.1236,                0.10905,                0.07626,                 1.0936,                  4.613,                0.95508,                 1.1584,                  11.13,                0.91008,             0.00051819,             0.00051819,             0.00051819
                      5,                 1.0941,                 2.4257,                0.95604,                 1.3024,                 6.8045,                0.93227,                0.95978,                0.06104,                0.22875,                0.15579,                 1.0867,                 3.7444,                0.95641,                 1.1457,                 9.5384,                0.91518,             0.00051819,             0.00051819,             0.00051819
                      6,                 1.1024,                 2.3439,                0.97924,                 1.2657,                 6.4408,                0.94538,                0.82895,                0.10829,                0.24894,                0.17806,                 1.0776,                 2.7841,                0.98034,                 1.1863,                 8.1267,                0.94259,             0.00051559,             0.00051559,             0.00051559
                      7,                 1.0711,                 2.1007,                0.97678,                 1.2625,                  5.686,                0.95125,                0.88978,                0.17387,                0.31569,                  0.241,                 1.0205,                  2.392,                0.95346,                 1.1167,                 6.9116,                0.94275,             0.00051298,             0.00051298,             0.00051298
                      8,                 1.0604,                 1.9259,                0.95197,                 1.2586,                 5.1729,                0.93603,                0.68034,                0.25246,                0.32102,                0.22589,                 1.0497,                 2.1043,                0.97404,                  1.204,                 5.9013,                0.94399,             0.00051038,             0.00051038,             0.00051038
                      9,                 1.0257,                 1.7748,                0.95699,                 1.2595,                 4.5851,                0.94539,                0.69811,                0.32773,                0.35022,                0.26073,                 1.0208,                 1.9621,                0.95524,                 1.1603,                 5.5757,                0.94799,             0.00050777,             0.00050777,             0.00050777
                     10,                 1.0198,                 1.6098,                0.97453,                 1.2128,                 4.1896,                0.95043,                0.74318,                0.31757,                0.36996,                0.28096,                0.97514,                 1.7457,                0.94398,                 1.0996,                 4.8611,                0.92483,             0.00050517,             0.00050517,             0.00050517
                     11,                0.99653,                 1.5594,                0.94908,                 1.2329,                 3.9012,                0.94467,                0.68693,                0.30238,                0.34342,                0.24436,                0.96165,                 1.7171,                0.92865,                 1.1239,                 4.3943,                0.92888,             0.00050257,             0.00050257,             0.00050257
                     12,                 1.0145,                 1.4874,                0.95492,                 1.2051,                 3.4636,                0.93842,                0.78281,                0.29359,                0.35981,                0.25693,                 1.0019,                 1.6821,                0.93524,                  1.134,                  4.017,                0.92795,             0.00049996,             0.00049996,             0.00049996
                     13,                0.99811,                 1.4072,                  0.939,                 1.1989,                   3.19,                0.92619,                0.37691,                0.43974,                0.40144,                0.28191,                0.98173,                 1.4456,                0.92687,                  1.084,                 3.7145,                0.91581,             0.00049736,             0.00049736,             0.00049736
                     14,                0.96916,                 1.3225,                0.94798,                 1.1466,                  2.992,                0.92665,                0.66782,                0.42487,                 0.4421,                0.30358,                0.93873,                 1.4051,                0.92451,                 1.0769,                 3.4713,                0.92826,             0.00049476,             0.00049476,             0.00049476
                     15,                0.99059,                 1.3446,                 0.9365,                 1.1949,                 2.8179,                0.92198,                0.75998,                0.34884,                0.42737,                 0.3072,                0.95318,                 1.3247,                 0.9382,                 1.0955,                 3.2172,                0.92551,             0.00049215,             0.00049215,             0.00049215
                     16,                0.95133,                 1.2198,                0.92913,                 1.1537,                 2.5675,                0.91902,                0.56377,                0.34757,                0.40867,                0.28776,                0.93936,                 1.3172,                0.93059,                 1.0704,                 3.0846,                0.91636,             0.00048955,             0.00048955,             0.00048955
                     17,                 0.9725,                 1.1826,                0.94522,                 1.1775,                 2.4653,                0.93982,                0.64386,                0.36065,                0.40714,                0.30834,                0.93678,                 1.2423,                0.92316,                  1.019,                 2.7941,                0.91121,             0.00048694,             0.00048694,             0.00048694
                     18,                0.96132,                 1.1009,                0.93562,                 1.1601,                  2.332,                 0.9262,                0.69486,                0.45223,                0.49007,                0.35448,                0.92603,                 1.1096,                0.93232,                 1.0284,                 2.5165,                0.92118,             0.00048434,             0.00048434,             0.00048434
                     19,                0.92879,                 1.0532,                0.93428,                 1.1224,                 2.1675,                0.92134,                0.83307,                0.35872,                0.46409,                0.33824,                0.94461,                 1.1195,                0.93394,                 1.0656,                 2.5509,                0.93978,             0.00048174,             0.00048174,             0.00048174
                     20,                 0.9133,                0.99871,                0.91641,                   1.11,                 2.0234,                0.91637,                0.62456,                0.55724,                0.54034,                0.37809,                0.95409,                 1.0762,                0.92664,                 1.0459,                 2.1942,                0.91001,             0.00047913,             0.00047913,             0.00047913
                     21,                0.93822,                 1.0221,                0.92906,                 1.1424,                 1.9684,                0.92308,                0.54656,                0.53737,                0.57492,                 0.4042,                0.91012,                0.99461,                0.91245,                 1.0194,                 2.0841,                0.90082,             0.00047653,             0.00047653,             0.00047653
                     22,                0.92335,                0.91229,                0.92708,                 1.1192,                 1.7723,                0.91849,                0.73534,                 0.4618,                 0.5444,                0.37665,                 0.9128,                0.99751,                0.90906,                 1.0334,                 1.9644,                0.90627,             0.00047393,             0.00047393,             0.00047393
                     23,                0.90552,                0.92986,                 0.9136,                 1.1023,                 1.7329,                0.91802,                0.73588,                0.43263,                0.50417,                0.36692,                0.90908,                  1.036,                0.91641,                 1.0103,                 1.9658,                0.91239,             0.00047132,             0.00047132,             0.00047132
                     24,                0.91419,                0.93929,                0.93105,                 1.1103,                 1.7046,                0.92879,                0.61017,                0.50859,                0.55545,                0.41611,                0.91091,                0.91543,                0.91698,                0.99378,                 1.7961,                0.89579,             0.00046872,             0.00046872,             0.00046872
                     25,                0.89866,                0.89118,                0.91506,                 1.0715,                 1.6245,                0.91365,                0.67416,                0.49111,                0.58317,                0.41471,                 0.9307,                0.93379,                0.92301,                 1.0528,                 1.7733,                0.91606,             0.00046611,             0.00046611,             0.00046611
                     26,                0.91044,                0.90614,                0.91135,                 1.1034,                 1.6312,                0.90995,                0.75121,                0.54134,                0.59758,                0.43101,                 0.9053,                0.99593,                 0.9138,                 1.0235,                 1.6892,                 0.9219,             0.00046351,             0.00046351,             0.00046351
                     27,                0.91298,                0.87244,                0.92254,                 1.0808,                 1.5438,                0.91466,                0.81949,                0.47435,                0.57413,                0.41768,                0.92627,                0.93897,                0.90996,                 1.0391,                 1.5817,                0.89904,             0.00046091,             0.00046091,             0.00046091
                     28,                 0.8915,                0.82831,                0.91988,                 1.0644,                 1.4416,                0.91448,                0.75855,                0.46985,                0.56925,                0.42486,                0.87941,                0.87525,                0.90354,                0.99502,                  1.547,                0.90647,              0.0004583,              0.0004583,              0.0004583
                     29,                0.89615,                0.81027,                0.91738,                 1.0768,                 1.4189,                0.91187,                0.45619,                 0.6283,                0.60538,                0.44866,                0.90327,                0.83924,                   0.91,                 1.0424,                 1.4917,                0.90956,              0.0004557,              0.0004557,              0.0004557
                     30,                0.88755,                0.78225,                0.91669,                 1.0666,                 1.3505,                0.91523,                0.57474,                0.68208,                0.65008,                0.48723,                0.93113,                0.78348,                 0.9129,                 1.0395,                 1.4133,                0.91775,              0.0004531,              0.0004531,              0.0004531
                     31,                0.89077,                0.74085,                0.91339,                 1.0652,                  1.268,                0.91892,                0.52572,                0.68108,                 0.6457,                0.47534,                0.87695,                 0.7997,                0.90303,                 1.0082,                 1.3338,                 0.9091,             0.00045049,             0.00045049,             0.00045049
                     32,                0.89074,                0.75702,                0.92192,                 1.0864,                 1.2401,                0.92246,                0.77473,                0.65373,                0.69279,                0.51955,                0.91298,                0.87244,                0.91542,                 1.0039,                 1.2996,                0.90803,             0.00044789,             0.00044789,             0.00044789
                     33,                0.86196,                 0.7159,                0.89995,                 1.0555,                 1.1843,                0.89681,                0.76113,                0.52013,                0.59373,                 0.4457,                 0.8996,                0.86415,                 0.9128,                  1.003,                 1.3738,                0.90698,             0.00044529,             0.00044529,             0.00044529
